chembl_id	link_name	link
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
